"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Terrace Marshall Jr.","CAR","WR97","0.0","0.0","0.0","29.9","371.5","2.3","0.1","80.7"
"Paul Quessenberry","HOU","TE32","0.0","0.0","0.0","37.0","334.0","2.0","1.0","80.4"
"David Bell","CLE","WR98","1.5","11.0","0.0","29.5","380.3","2.1","0.6","79.9"
"Dontrell Hilliard","TEN","RB62","45.2","233.1","1.5","25.7","179.8","0.6","0.7","78.3"
"Wan'Dale Robinson","NYG","WR99","5.7","32.5","0.1","29.5","336.8","1.7","0.3","76.5"
"Brian Robinson Jr.","WAS","RB63","91.5","389.1","3.0","11.0","82.5","0.4","1.2","76.1"
"Jeremiah Hall","NYG","RB64","0.0","0.0","0.0","35.0","308.0","2.0","1.0","75.8"
"Amari Rodgers","GB","WR100","1.5","9.2","0.0","26.8","349.2","2.3","0.4","75.7"
"Harrison Bryant","CLE","TE33","0.0","0.0","0.0","29.3","313.9","2.5","0.4","75.0"
"Velus Jones Jr.","CHI","WR101","1.4","8.4","0.1","26.9","344.1","2.1","0.3","74.6"
"Khalil Herbert","CHI","RB65","95.5","361.7","2.1","14.1","107.3","0.4","0.8","74.5"
"Jonnu Smith","NE","TE34","0.0","0.0","0.0","29.3","311.9","2.3","0.1","74.4"
"Jauan Jennings","SF","WR102","0.0","0.0","0.0","28.1","327.4","2.2","0.1","73.9"
"Tyler Conklin","NYJ","TE35","0.0","0.0","0.0","31.2","302.1","1.9","0.0","72.6"
"Dan Arnold","JAC","TE36","0.0","0.0","0.0","27.9","328.8","1.9","0.5","71.5"
"Quez Watkins","PHI","WR103","0.0","0.0","0.0","25.5","351.3","1.8","0.0","71.4"
"Jalen Guyton","LAC","WR104","4.4","25.9","0.1","22.2","321.2","2.1","0.1","69.6"
"Samaje Perine","CIN","RB66","65.7","279.6","1.4","18.0","123.3","0.6","0.6","69.4"
"Darius Slayton","NYG","WR105","0.2","-2.2","0.0","25.5","340.8","1.7","0.4","69.3"
"Isaiah McKenzie","BUF","WR106","9.0","55.2","0.3","25.2","250.3","1.9","0.2","68.8"
"Sony Michel","MIA","RB67","103.4","391.0","2.6","8.9","57.2","0.1","0.5","68.8"
"Tommy Tremble","CAR","TE37","0.0","0.0","0.0","27.6","281.9","2.2","0.1","68.5"
"Dee Eskridge","SEA","WR107","4.3","29.1","0.1","24.2","311.7","1.5","0.3","67.3"
