"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ryan Nall","DAL","RB69","109.0","321.0","2.0","10.0","63.0","1.0","1.0","64.4"
"Demarcus Robinson","LV","WR109","0.0","0.0","0.0","23.5","274.0","2.1","0.2","62.9"
"Quez Watkins","PHI","WR110","0.0","0.0","0.0","22.9","291.7","1.8","0.1","62.8"
"Geoff Swaim","TEN","TE39","0.0","0.0","0.0","26.0","220.7","2.4","0.1","62.6"
"Chuba Hubbard","CAR","RB70","61.0","229.4","1.8","15.7","112.7","0.5","0.6","62.2"
"Tommy Tremble","CAR","TE40","0.0","0.0","0.0","25.3","256.2","1.9","0.1","62.1"
"Noah Brown","DAL","WR111","0.0","0.3","0.0","24.2","272.3","1.7","0.1","61.6"
"Kyle Juszczyk","SF","RB71","12.9","46.9","0.8","22.7","207.5","1.3","0.1","60.3"
"Keelan Cole Sr.","LV","WR112","0.0","0.3","0.0","20.2","292.8","1.7","0.0","59.5"
"Marquez Callaway","NO","WR113","2.2","13.3","0.1","19.2","267.8","1.9","0.0","59.2"
"Tylan Wallace","BAL","WR114","0.0","0.0","0.0","21.5","261.6","1.9","0.2","58.7"
"Donald Parham Jr.","LAC","TE41","0.0","0.0","0.0","21.2","225.9","2.4","0.1","57.9"
"Anthony Firkser","ATL","TE42","0.0","0.0","0.0","25.9","242.9","1.4","0.6","57.6"
"Boston Scott","PHI","RB72","61.4","268.3","2.9","7.3","52.0","0.2","0.2","57.5"
"D'Onta Foreman","CAR","RB73","77.8","327.1","2.2","6.1","56.3","0.1","0.7","57.1"
"O.J. Howard","BUF","TE43","0.0","0.0","0.0","22.0","244.7","1.8","0.1","56.8"
"Jelani Woods","IND","TE44","0.0","0.0","0.0","21.6","229.0","2.0","0.5","55.7"
"Anthony Schwartz","CLE","WR115","1.5","9.1","0.1","19.4","256.7","1.5","0.2","55.0"
"Zamir White","LV","RB74","62.3","269.4","2.3","7.5","54.5","0.2","0.3","54.5"
"Giovani Bernard","TB","RB75","22.4","86.7","0.5","21.5","145.2","1.2","0.1","54.4"
"Brandon Bolden","LV","RB76","32.3","143.3","0.8","17.8","162.7","0.5","1.0","53.8"
"Calvin Austin III","PIT","WR116","0.0","0.0","0.0","21.6","242.8","1.2","0.1","52.9"
"Quintez Cephus","DET","WR117","0.0","0.0","0.0","17.1","229.7","2.1","0.0","52.6"
"Freddie Swain","SEA","WR118","0.7","4.0","0.0","20.9","236.6","1.3","0.1","52.5"
"Pharaoh Brown","HOU","TE45","0.0","0.0","0.0","23.9","210.5","1.3","0.6","51.3"
"Romeo Doubs","GB","WR119","0.0","0.0","0.0","17.6","213.3","1.9","0.1","50.1"
"Rashard Higgins","CAR","WR120","0.0","0.0","0.0","18.1","243.9","1.2","0.1","49.7"
"Phillip Dorsett II","HOU","WR121","1.1","6.6","0.0","18.8","229.5","1.2","0.1","49.5"
"James O'Shaughnessy","CHI","TE46","0.0","0.0","0.0","20.5","214.9","1.1","0.1","48.4"
"Jeff Wilson Jr.","SF","RB77","42.4","177.1","1.6","10.5","77.1","0.4","0.2","47.6"
"Breshad Perriman","TB","WR122","0.2","0.8","0.0","14.8","222.0","1.6","0.1","46.7"
"Chris Carson","SEA","RB78","45.3","201.1","1.6","9.0","63.2","0.2","0.0","46.4"
"John Bates","WAS","TE47","0.0","0.0","0.0","18.0","207.8","1.3","0.1","46.3"
"Craig Reynolds","DET","RB79","40.7","180.1","0.7","12.5","94.2","0.5","0.6","46.3"
"Keke Coutee","IND","WR123","0.0","0.0","0.0","17.8","204.1","1.3","0.0","45.8"
"Tyquan Thornton","NE","WR124","0.0","0.0","0.0","17.3","205.1","1.3","0.1","45.7"
"James Proche II","BAL","WR125","0.0","0.0","0.0","17.5","214.6","1.1","0.2","45.1"
"Will Dissly","SEA","TE48","0.0","0.0","0.0","18.5","192.0","1.2","0.1","44.5"
"Ke'Shawn Vaughn","TB","RB80","52.4","220.4","2.2","5.3","35.4","0.1","0.7","43.7"
"Ian Thomas","CAR","TE49","0.0","0.0","0.0","19.0","185.7","1.0","0.1","43.5"
"Chris Evans","CIN","RB81","22.8","94.4","0.5","15.2","113.1","0.8","0.2","43.3"
"Trey McBride","ARI","TE50","0.0","0.0","0.0","17.5","178.3","1.5","0.5","43.2"
"Jordan Akins","NYG","TE51","0.0","0.0","0.0","19.1","182.8","1.1","0.6","42.8"
"Hassan Haskins","TEN","RB82","46.2","202.8","1.2","7.9","60.4","0.3","0.1","42.8"
"Josh Reynolds","DET","WR126","0.0","0.0","0.0","14.2","188.4","1.5","0.1","41.6"
"Kylen Granson","IND","TE52","0.0","0.0","0.0","16.7","167.9","1.2","0.1","40.6"
"Tutu Atwell","LAR","WR127","0.0","0.0","0.0","14.6","183.5","1.3","0.2","40.3"
"Kendall Blanton","LAR","TE53","0.0","0.0","0.0","15.5","162.4","1.4","0.5","39.3"
"Tyrion Davis-Price","SF","RB83","47.1","200.5","1.6","4.7","36.7","0.1","0.1","38.4"
"Jaret Patterson","WAS","RB84","44.3","180.3","1.5","7.3","53.4","0.1","1.0","38.3"
"Juwann Winfree","GB","WR128","0.0","0.0","0.0","14.4","167.7","1.2","0.0","38.3"
